session_id,target
1,0.010942276678587633
2,7.552327445161118e-06
3,1.3985223764329493e-05
4,1.2642651615480715e-05
5,1.9212784196161736e-06
6,1.2311327941639954e-05
7,5.891358104102199e-06
8,1.008968620496046e-05
9,1.1926037732374729e-05
10,5.953637108856966e-06
11,1.2490357733235394e-05
12,3.5820394547069294e-06
13,5.169778691661447e-06
14,5.247244007406002e-06
15,5.4260771465830606e-06
16,9.741288257184392e-06
17,3.056622795851844e-05
18,7.54486983980745e-06
19,1.2688843230610128e-05
20,1.6328831480844739e-06
21,2.1539584315118177e-06
22,6.097523528351279e-05
23,9.484307033458907e-06
24,2.6411103895435007e-06
25,7.0382791487596e-06
26,9.188477698347415e-06
27,1.451656809017796e-05
28,6.607940111098319e-06
29,2.7471739179878978e-06
30,1.3587693455702575e-05
31,4.493960522842322e-06
32,1.864803379517757e-06
33,7.979190575199604e-06
34,1.8753174908004982e-05
35,2.7034667044257602e-06
36,2.806448267153896e-05
37,1.7053899564118988e-06
38,5.6451593318820244e-06
39,3.932405740692507e-06
40,2.2142801507443676e-05
41,8.266382713133806e-06
42,9.295187571073384e-06
43,6.275789993314559e-06
44,5.733175677883278e-06
45,1.2831072264203235e-05
46,7.577418628359578e-06
47,5.8566528622393585e-06
48,6.387283564176488e-06
49,8.515420507811935e-06
50,2.725039748800023e-05
51,1.2174637437608832e-05
52,9.671914355079077e-06
53,3.7641761955054574e-05
54,1.587309187325636e-05
55,1.3057934190642378e-05
56,2.3772080910380425e-05
57,6.688250741331366e-06
58,2.4585265743870972e-05
59,4.577873189652749e-06
60,2.2437643210925818e-05
61,2.0976611457626e-06
62,9.742636313305882e-06
63,8.701746717015385e-06
64,1.5295571015647298e-05
65,8.717859613856765e-06
66,1.4033382625903954e-05
67,4.566648415578599e-05
68,1.169905570165069e-05
69,7.76922244107021e-06
70,1.2800229918298912e-05
71,5.899417425210425e-06
72,4.8568541715450385e-06
73,5.851181261899161e-06
74,6.173023061509503e-06
75,1.0080345912232125e-05
76,1.1736964955581993e-05
77,5.218511157061735e-06
78,5.544170548814589e-06
79,6.941141216515609e-06
80,2.676343753563653e-05
81,1.4455670127475383e-05
